iter	RMSE
0	0.9098010286
1	0.8273556404
2	0.7527954186
3	0.6804995742
4	0.6148011064
5	0.5564433773
6	0.5043802572
7	0.4564920134
8	0.4153054659
9	0.3762089763
10	0.3414803368
11	0.310125645
12	0.2817895958
13	0.2552317831
14	0.230523864
15	0.2101312729
16	0.1908395414
17	0.1738915736
18	0.1578845471
19	0.1437237123
20	0.1311395184
21	0.1198792563
22	0.1096248177
23	0.1002914006
24	0.09135410331
25	0.08362126384
26	0.07657986914
27	0.07024182077
28	0.06459601771
29	0.05952496029
30	0.05494280654
31	0.05071812068
32	0.04695190911
33	0.04349784866
34	0.04037242115
35	0.03758819481
36	0.03509452681
37	0.03295589855
38	0.03098791267
39	0.02909313487
40	0.02747214932
41	0.02603269732
42	0.02472133463
43	0.02363853968
44	0.0225770908
45	0.0216375374
46	0.02078627305
47	0.02001133712
48	0.01921811164
49	0.01856907977
50	0.01797342769
51	0.0174324988
52	0.0168734832
53	0.01639963177
54	0.01597873834
55	0.01560886972
56	0.01521453116
57	0.01487813912
58	0.01450482529
59	0.01423198932
60	0.01395434729
61	0.01369895745
62	0.01344464548
63	0.01319537387
64	0.01298633376
65	0.01272903218
66	0.01253796617
67	0.01236492657
68	0.01214855472
69	0.0119848738
70	0.01186039924
71	0.01165986452
72	0.01151022256
73	0.01139431619
74	0.01134634835
75	0.01124684974
76	0.01112403952
77	0.01097627931
78	0.01088388889
79	0.01075909047
80	0.01070379676
81	0.0106304939
82	0.0105794448
83	0.01049946455
84	0.01045482856
85	0.01036319578
86	0.01028393232
87	0.0101887668
88	0.01010854623
89	0.01007953169
90	0.01004548962
91	0.01001948793
92	0.009986578635
93	0.009951690371
94	0.009845945262
95	0.009786772328
96	0.009733816204
97	0.009681561056
98	0.009617176031
99	0.009578734846
